id,nombre,horasTrabajadas,sueldo
3,Kimbell,120,50000
11,Cordelie,325,50000
12,Shel,120,50000
17,Cirillo,88,50000
21,Eugene,88,50000
34,Jehanna,220,50000
41,Ame,88,50000
43,Margarete,120,50000
44,Nikoletta,120,50000
45,Lonnard,75,50000
50,Marion,88,50000
58,Celene,120,50000
59,Kori,90,50000
68,Paulita,120,50000
91,Lonni,220,50000
96,Marcellus,88,50000
98,Aleda,90,50000
114,Harmon,220,50000
133,Stephenie,220,50000
137,Brynn,75,50000
159,Leonie,325,50000
161,Ofella,90,50000
174,Lorant,88,50000
177,Mellicent,75,50000
183,Eric,60,50000
187,Scarface,220,50000
207,Weider,88,50000
217,Romola,88,50000
222,Enrico,325,50000
258,Merrile,180,50000
259,Tadd,60,50000
264,Blair,180,50000
267,Channa,325,50000
273,Dyann,75,50000
275,Dru,75,50000
276,Kiel,75,50000
278,Alberik,88,50000
280,Rafaellle,180,50000
291,Christiano,60,50000
292,Russell,220,50000
293,Cleo,120,50000
304,Jacinda,60,50000
313,Charisse,180,50000
315,Angelika,220,50000
328,Urbano,60,50000
344,Aldric,220,50000
348,Cassie,88,50000
351,Marieann,325,50000
353,Kurtis,88,50000
357,Ula,75,50000
360,Sinclair,60,50000
361,Buddy,120,50000
362,Neilla,180,50000
386,Juliann,90,50000
389,Ag,88,50000
390,Sherwin,88,50000
405,Fredric,325,50000
406,Mikael,220,50000
451,Samara,88,50000
469,Rod,75,50000
471,Saidee,325,50000
474,Coletta,90,50000
489,Tamarah,88,50000
495,Conrado,220,50000
501,Callie,220,50000
504,Martguerita,90,50000
515,Pernell,325,50000
520,Sheridan,120,50000
545,Henrie,75,50000
579,Delaney,88,50000
590,Emlyn,325,50000
602,Cahra,325,50000
603,Arvin,220,50000
614,Idalina,120,50000
620,Odessa,120,50000
632,Shandra,120,50000
638,Marylee,60,50000
655,Filmer,90,50000
670,Jacqueline,90,50000
675,Nani,220,50000
676,Galen,60,50000
678,Tomi,60,50000
689,Krystyna,60,50000
690,Krishna,325,50000
708,Hagan,120,50000
725,Jonathon,220,50000
727,Klara,180,50000
752,Andrej,88,50000
772,Juliana,180,50000
785,Edan,60,50000
797,Yelena,180,50000
800,Janine,60,50000
814,Lefty,220,50000
829,Cale,60,50000
836,Corrina,75,50000
837,Hashim,88,50000
844,Yardley,60,50000
861,Holden,180,50000
900,Shaughn,180,50000
906,Tabb,325,50000
910,Maurie,180,50000
937,Arabel,180,50000
952,Lacey,75,50000
957,Trista,75,50000
968,Charlie,325,50000
992,Angelia,60,50000
23,Reagen,90,42000
26,Anthea,90,42000
31,Katey,180,42000
33,Redd,88,42000
36,Stefa,88,42000
49,Carroll,220,42000
72,Cristi,88,42000
92,Nicky,180,42000
104,Kilian,120,42000
108,Trixie,325,42000
128,Vina,88,42000
138,Yankee,88,42000
139,Corbin,120,42000
146,Gustie,180,42000
152,Byram,90,42000
154,Osbert,120,42000
155,Tanny,325,42000
157,Clarie,60,42000
165,Darleen,220,42000
185,Ian,75,42000
191,Farand,88,42000
193,Philipa,325,42000
197,Eleonora,120,42000
211,Thomasina,60,42000
216,Dwight,220,42000
238,Chet,325,42000
240,Alexandra,75,42000
241,Broddie,90,42000
243,Cal,120,42000
246,Dotty,180,42000
249,Tiphani,88,42000
287,Dudley,90,42000
294,Catriona,60,42000
307,Davide,325,42000
311,Lenci,90,42000
321,Richard,90,42000
324,Maynord,220,42000
352,Carita,180,42000
368,Deni,60,42000
